abd_l,abd_r,add_l,add_r,bifemsh_l,bifemsh_r,gastroc_l,glut_max_l,glut_max_r,hamstrings_l,hamstrings_r,iliopsoas_l,iliopsoas_r,rect_fem_l,rect_fem_r,soleus_l,tib_ant_l,vasti_l,vasti_r
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.202,NaN,NaN,NaN,0.1605,NaN,0.1828,0.166,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1882,NaN,NaN,NaN,0.1293,NaN,0.2145,0.1523,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1792,NaN,NaN,NaN,0.1075,NaN,0.247,0.1445,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1723,NaN,NaN,NaN,0.0928,NaN,0.2786,0.1386,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1661,NaN,NaN,NaN,0.0833,NaN,0.3081,0.1326,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1603,NaN,NaN,NaN,0.0776,NaN,0.3351,0.1258,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1546,NaN,NaN,NaN,0.0742,NaN,0.3606,0.1194,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1484,NaN,NaN,NaN,0.072,NaN,0.3862,0.1144,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1414,NaN,NaN,NaN,0.0705,NaN,0.4136,0.1114,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1347,NaN,NaN,NaN,0.0696,NaN,0.4432,0.1102,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,NaN,0.0693,NaN,0.474,0.1109,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1274,NaN,NaN,NaN,0.0692,NaN,0.502,0.1138,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.126,NaN,NaN,NaN,0.0692,NaN,0.5208,0.1186,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1246,NaN,NaN,NaN,0.0702,NaN,0.5225,0.1239,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1215,NaN,NaN,NaN,0.0731,NaN,0.5011,0.1275,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1162,NaN,NaN,NaN,0.0783,NaN,0.4542,0.1274,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1092,NaN,NaN,NaN,0.0846,NaN,0.3856,0.1219,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1023,NaN,NaN,NaN,0.0901,NaN,0.3054,0.1113,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0976,NaN,NaN,NaN,0.094,NaN,0.2259,0.0992,NaN,NaN
